index,question,choices,
1,In the computer generated world I had a sense of being there,"1-Not at all,2,3,4,5,6,7-Very much",
2,Somehow I felt that the virtual world surrounded me,"1-Fully disagree,2,3,4,5,6,7-Fully agree",
3,I felt like I was just perceiving pictures,"1-Fully disagree,2,3,4,5,6,7-Fully agree",
4,I did not feel present in the virtual space,"1-Did not feel,2,3,4,5,6,7-Felt present",
5,I had a sense of acting in the virtual space rather than operating something from outside,"1-Fully disagree,2,3,4,5,6,7-Fully agree",
6,I felt present in the virtual space,"1-Fully disagree,2,3,4,5,6,7-Fully agree",
7,How aware were you of the real world surrounding while navigating in the virtual world? (i.e. sounds/room temperature/other people/etc.),"1-Extremely aware,2,3,4-Moderately aware,5,6,7-Not aware at all",
8,I was not aware of my real environment,"1-Fully disagree,2,3,4,5,6,7-Fully agree",
9,I still paid attention to the real environment,"1-Fully disagree,2,3,4,5,6,7-Fully agree",
10,I was completely captivated by the virtual world,"1-Fully disagree,2,3,4,5,6,7-Fully agree",
11,How real did the virtual world seem to you?,"1-Completely real,2,3,4,5,6,7-Not real at all",
12,How much did your experience in the virtual environment seem consistent with your real world experience?,"1-Not consistent,2,3,4-Moderately consistent,5,6,7-Very consistent",
13,How real did the virtual world seem to you?,"1-About as real as an imagined world,2,3,4,5,6,7-Indistinguishable from the real world",
14,The virtual world seemed more realistic than the real world,"1-Fully disagree,2,3,4,5,6,7-Fully agree",
1,The movements of the virtual body felt like they were my movements.,"1-strongly disagree,2,3,4,5,6,7-strongly agree",
2,I felt like I was controlling the movements of the virtual body.,"1-strongly disagree,2,3,4,5,6,7-strongly agree",
